date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:16	1204/1204	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202026%2010:03:16%20GMT	https://www.posterized.in/robots.txt		(from )
15:33:17	1196718/1196718	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2010:03:17%20GMT	https://www.posterized.in/	C:/Users/91836/PERSONAL/Postering/www.posterized.in/index.html	(from )
15:33:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2010:03:18%20GMT	http://www.posterized.in/cdn/shop/files/32X32_PNG.png?crop=center&height=32&v=1721475342&width=32	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/files/32X32_PNG.0ff66.delayed	(from https://www.posterized.in/)
15:33:18	1572/1572	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202026%2021:59:35%20GMT	https://www.posterized.in/cdn/shop/files/32X32_PNG.png?crop=center&height=32&v=1721475342&width=32	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/files/32X32_PNGff66.png	(from https://www.posterized.in/)
15:33:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2010:03:19%20GMT	http://www.posterized.in/cdn/shop/files/Thumbnail_c6ae9a8c-80bd-479d-b352-92a79244ca09.jpg?v=1705927742	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/files/Thumbnail_c6ae9a8c-80bd-479d-b352-92a79244ca09dd79.jpg	(from https://www.posterized.in/)
15:33:18	215574/215574	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Apr%202026%2002:23:06%20GMT	https://www.posterized.in/cdn/shop/files/Thumbnail_c6ae9a8c-80bd-479d-b352-92a79244ca09.jpg?v=1705927742	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/files/Thumbnail_c6ae9a8c-80bd-479d-b352-92a79244ca09dd79.jpg	(from https://www.posterized.in/)
15:33:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2010:03:19%20GMT	http://www.posterized.in/cdn/shop/t/120/assets/constants.js?v=132983761750457495441782217589	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/t/120/assets/constantsca51.js	(from https://www.posterized.in/)
15:33:21	258/258	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Jun%202026%2012:52:27%20GMT	https://www.posterized.in/cdn/shop/t/120/assets/constants.js?v=132983761750457495441782217589	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/t/120/assets/constantsca51.js	(from https://www.posterized.in/)
15:33:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2010:03:22%20GMT	http://www.posterized.in/cdn/shop/t/120/assets/pubsub.js?v=25310214064522200911782217644	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/t/120/assets/pubsub6bfd.js	(from https://www.posterized.in/)
15:33:21	548/548	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Jun%202026%2012:52:28%20GMT	https://www.posterized.in/cdn/shop/t/120/assets/pubsub.js?v=25310214064522200911782217644	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/t/120/assets/pubsub6bfd.js	(from https://www.posterized.in/)
15:33:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2010:03:22%20GMT	http://www.posterized.in/cdn/shop/t/120/assets/global.js?v=1942545902055418081782217595	C:/Users/91836/PERSONAL/Postering/www.posterized.in/cdn/shop/t/120/assets/global9aa6.js	(from https://www.posterized.in/)
